15	6	E	-3201403.48089737	200
emissionprobs	3	4	H3K4me3	1	0.9747816891418406
emissionprobs	3	5	H3K9me3	0	0.9921513996833687
emissionprobs	3	5	H3K9me3	1	0.00784860031663127
emissionprobs	4	0	H3K27ac	0	0.20970817067466563
emissionprobs	4	0	H3K27ac	1	0.7902918293253344
emissionprobs	4	1	H3K27me3	0	0.9926188242034217
emissionprobs	4	1	H3K27me3	1	0.007381175796578253
emissionprobs	4	2	H3K36me3	0	0.35967706591518167
emissionprobs	4	2	H3K36me3	1	0.6403229340848183
emissionprobs	4	3	H3K4me1	0	0.45069177186950926
emissionprobs	4	3	H3K4me1	1	0.5493082281304907
emissionprobs	4	4	H3K4me3	0	0.04147556071389251
emissionprobs	4	4	H3K4me3	1	0.9585244392861075
emissionprobs	4	5	H3K9me3	0	0.9615146938666083
emissionprobs	4	5	H3K9me3	1	0.038485306133391815
emissionprobs	5	0	H3K27ac	0	0.08042722129124799
emissionprobs	5	0	H3K27ac	1	0.9195727787087521
emissionprobs	5	1	H3K27me3	0	1.0
emissionprobs	5	1	H3K27me3	1	0.0
emissionprobs	5	2	H3K36me3	0	0.9911747252170843
emissionprobs	5	2	H3K36me3	1	0.008825274782915664
emissionprobs	5	3	H3K4me1	0	0.9999999999974117
emissionprobs	5	3	H3K4me1	1	2.5881385666616918E-12
emissionprobs	5	4	H3K4me3	0	0.009139474040511821
emissionprobs	5	4	H3K4me3	1	0.990860525959488
emissionprobs	5	5	H3K9me3	0	0.9976500186359291
emissionprobs	5	5	H3K9me3	1	0.002349981364070885
emissionprobs	6	0	H3K27ac	0	0.9419291664532977
emissionprobs	6	0	H3K27ac	1	0.05807083354670231
emissionprobs	6	1	H3K27me3	0	0.9973364793456547
emissionprobs	6	1	H3K27me3	1	0.002663520654345294
emissionprobs	6	2	H3K36me3	0	0.99587578745861
emissionprobs	6	2	H3K36me3	1	0.004124212541389853
emissionprobs	6	3	H3K4me1	0	0.9999999999890999
emissionprobs	6	3	H3K4me1	1	1.0900069396181481E-11
emissionprobs	6	4	H3K4me3	0	0.17173730957414696
emissionprobs	6	4	H3K4me3	1	0.828262690425853
emissionprobs	6	5	H3K9me3	0	0.9968795839343253
emissionprobs	6	5	H3K9me3	1	0.0031204160656747855
emissionprobs	7	0	H3K27ac	0	0.8169798251083684
emissionprobs	7	0	H3K27ac	1	0.18302017489163158
emissionprobs	7	1	H3K27me3	0	0.983840416518461
emissionprobs	7	1	H3K27me3	1	0.016159583481539005
emissionprobs	7	2	H3K36me3	0	0.9800447702651822
emissionprobs	7	2	H3K36me3	1	0.019955229734817795
emissionprobs	7	3	H3K4me1	0	0.13757589880150387
emissionprobs	7	3	H3K4me1	1	0.8624241011984962
emissionprobs	7	4	H3K4me3	0	0.17608928682654745
emissionprobs	7	4	H3K4me3	1	0.8239107131734525
emissionprobs	7	5	H3K9me3	0	0.9918481149929795
emissionprobs	7	5	H3K9me3	1	0.008151885007020453
emissionprobs	8	0	H3K27ac	0	0.972445301552656
emissionprobs	8	0	H3K27ac	1	0.02755469844734397
emissionprobs	8	1	H3K27me3	0	0.9984624647443507
emissionprobs	8	1	H3K27me3	1	0.0015375352556493325
emissionprobs	8	2	H3K36me3	0	0.9863092049890406
emissionprobs	8	2	H3K36me3	1	0.013690795010959355
emissionprobs	8	3	H3K4me1	0	0.45792684296282715
emissionprobs	8	3	H3K4me1	1	0.5420731570371728
emissionprobs	8	4	H3K4me3	0	1.0
emissionprobs	8	4	H3K4me3	1	2.1081660326588214E-40
emissionprobs	8	5	H3K9me3	0	0.9977686149801239
emissionprobs	8	5	H3K9me3	1	0.0022313850198760034
emissionprobs	9	0	H3K27ac	0	0.9991618904228753
